id;date_of_origin;presence_marked;instructor_id
631;2025-10-04 12:00:00;1;235
632;2026-03-04 12:00:00;1;89
633;2023-11-01 12:00:00;1;57
634;2022-01-05 12:00:00;1;89
635;2024-10-06 12:00:00;1;146
636;2022-12-07 12:00:00;1;23
637;2023-10-08 12:00:00;1;40
638;2023-03-07 12:00:00;1;377
639;2023-02-02 12:00:00;1;66
640;2024-01-01 12:00:00;1;477
641;2024-02-01 12:00:00;1;377
642;2023-05-08 12:00:00;1;40
643;2023-02-01 12:00:00;1;694
644;2022-11-12 12:00:00;1;393
645;2023-06-11 12:00:00;1;840
646;2023-08-11 12:00:00;1;535
647;2024-07-11 12:00:00;1;932
648;2023-01-03 12:00:00;1;154
649;2024-06-03 12:00:00;1;459
650;2023-02-04 12:00:00;1;459
651;2021-01-04 12:00:00;1;402
652;2024-08-04 12:00:00;1;401
653;2024-09-03 12:00:00;1;72
654;2023-09-03 12:00:00;1;700
655;2023-06-03 12:00:00;1;748
656;2022-08-02 12:00:00;1;291
657;2021-03-12 12:00:00;1;730
658;2021-09-08 12:00:00;1;115
659;2023-10-07 12:00:00;1;748
660;2024-05-07 12:00:00;1;535
661;2022-03-11 12:00:00;1;477
662;2022-05-06 12:00:00;1;154
663;2023-04-04 12:00:00;1;459
664;2024-09-07 12:00:00;1;88
665;2021-06-01 12:00:00;1;476
666;2024-02-04 12:00:00;1;730
667;2025-05-03 12:00:00;1;477
668;2022-09-06 12:00:00;1;714
669;2023-01-07 12:00:00;1;764
670;2026-03-03 12:00:00;1;57
671;2024-10-12 12:00:00;1;738
672;2022-01-07 12:00:00;1;235
673;2024-04-05 12:00:00;1;80
674;2022-10-06 12:00:00;1;700
675;2023-10-04 12:00:00;1;748
676;2025-04-04 12:00:00;1;805
677;2023-10-05 12:00:00;1;459
678;2024-04-04 12:00:00;1;433
679;2024-12-02 12:00:00;1;78
680;2025-10-02 12:00:00;1;212
681;2024-04-02 12:00:00;1;57
682;2023-02-09 12:00:00;1;433
683;2022-10-02 12:00:00;1;154
684;2024-05-02 12:00:00;1;805
685;2024-09-02 12:00:00;1;402
686;2026-04-02 12:00:00;1;243
687;2021-08-02 12:00:00;1;148
688;2024-03-02 12:00:00;1;218
689;2023-06-02 12:00:00;1;367
690;2022-11-05 12:00:00;1;459
691;2024-01-08 12:00:00;1;88
692;2023-12-08 12:00:00;1;64
693;2024-08-05 12:00:00;1;739
694;2023-03-04 12:00:00;1;700
695;2022-02-07 12:00:00;1;402
696;2024-11-05 12:00:00;1;98
697;2024-09-10 12:00:00;1;50
698;2024-11-03 12:00:00;1;89
699;2022-04-04 12:00:00;1;298
700;2024-11-03 12:00:00;1;748
701;2024-11-03 12:00:00;1;694
702;2024-01-05 12:00:00;1;248
703;2025-06-05 12:00:00;1;89
704;2022-03-06 12:00:00;1;124
705;2025-04-04 12:00:00;1;684
706;2022-09-10 12:00:00;1;359
707;2024-03-04 12:00:00;1;88
708;2025-10-02 12:00:00;1;58
709;2025-11-03 12:00:00;1;146
710;2025-12-03 12:00:00;1;78
711;2025-02-04 12:00:00;1;386
712;2023-09-12 12:00:00;1;738
713;2023-01-05 12:00:00;1;23
714;2023-05-06 12:00:00;1;65
715;2025-05-05 12:00:00;1;66
716;2021-08-06 12:00:00;1;50
717;2023-10-05 12:00:00;1;98
718;2022-03-08 12:00:00;1;50
719;2024-06-07 12:00:00;1;72
720;2024-01-06 12:00:00;1;377
721;2023-07-08 12:00:00;1;402
722;2022-10-05 12:00:00;1;694
723;2021-06-12 12:00:00;1;298
724;2024-01-03 12:00:00;1;694
725;2024-02-03 12:00:00;1;359
726;2025-04-08 12:00:00;1;764
727;2023-07-04 12:00:00;1;748
728;2023-07-07 12:00:00;1;57
