id;course_date;activity_type;instructor_id;place;presence_marked;cat2;cat3;duration;exam_date;start_time;end_time;time_of_day;examinator_id;training_id
312;2021-08-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
313;2013-07-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
314;2012-10-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
315;2010-07-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
316;2021-06-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
317;2021-06-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
318;2022-06-29 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
319;2019-06-28 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
320;2020-10-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
321;2016-09-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
322;2022-04-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
323;2019-08-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
324;2023-12-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
325;2023-01-26 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
326;2023-03-16 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
327;2023-05-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
328;2023-01-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
329;2023-03-24 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
330;2023-05-15 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
331;2023-09-14 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
332;2022-01-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
333;2021-01-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
334;2021-03-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
335;2023-07-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
336;2020-06-30 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
337;2023-04-25 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
338;2022-03-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
339;2022-04-01 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
340;2021-09-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
341;2023-08-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
342;2021-05-23 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
343;2023-07-05 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
344;2024-03-04 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
345;2023-09-22 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
346;2023-06-08 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
347;2023-09-10 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
348;2023-11-13 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
349;2022-02-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
350;2023-01-06 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
351;2023-10-27 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
352;2010-12-09 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
353;2021-08-18 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
354;2021-08-12 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
355;2022-11-11 12:00:00;EA;;DF-RH;0;0;0;;;;;;;
356;2021-07-23 12:00:00;CHL;58;;0;1;1;;;;;;;
357;2021-11-11 12:00:00;CHL;40;;0;1;1;;;;;;;
358;2022-05-29 12:00:00;CHL;65;;0;1;1;;;;;;;
